"V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64"
"1" 0.773343723 -0.078177781 -0.084469157 0.965614087 0.075663904 0.458816284 0.067097744 0.094127663 0.108316143 -0.970746918 1.163931755 NA 1.187202973 0.005982072 0.996874831 0.722123289 0.614266298 0.998423561 0.856753019 0.657053573 1.285506707 0.76593285 0.8382427 0.313496007 0.73764242 NA 0.215756333 -0.161930867 0.37101168 -0.031800313 0.306749135 0.432431556 0.892940218 0.108405874 0.733136829 0.239410524 1.242308511 0.620253855 1.131821378 0.706655531 0.802584375 0.244200294 0.707937266 0.224023164 0.216884001 -0.242963679 -0.419310515 -0.526108481 -0.327393573 0.296542701 -0.58788667 -0.061131 0.204001506 0.24247548 NA -1.940027486 -1.051824127 -0.968637212 -2.683845512 -1.20764621 -1.684161459 -2.258568208 -1.146333025
"2" -2.438404816 -2.415753791 -1.649739209 -2.380546634 NA -2.875286121 -1.624044065 -1.795165262 -1.944910649 -2.347582459 -2.686778066 NA -2.154165088 -1.657578288 -1.440961763 -2.497384171 -2.092324168 -1.712024501 -2.53577898 -1.378326191 -2.248096908 -2.337176538 -1.833206659 -1.797576355 -1.056702886 -2.640858952 -1.085597352 -1.025826619 -1.813391769 -0.079043207 -1.259133216 -2.700082032 0.026836654 0.323531725 -0.090252989 -0.764213629 0.251147748 -0.646263595 -0.939047719 -0.59747343 0.654770111 -0.252314929 -0.347149031 -1.495216768 -2.058071516 -1.949817774 -2.552329326 -2.068303797 -2.504701277 -2.065144237 -1.637837387 -2.05650657 -2.043302495 -2.859454655 -1.52924137 -2.877060744 -2.887775132 -2.748872196 -2.117766656 -2.478129666 -2.053384007 -2.308603165 -3.007804855
"3" -0.482562158 0.412771683 -0.241307522 0.625296514 NA 0.135841223 0.51962678 0.702750917 0.60009944 -0.392006088 0.044973366 0.040085724 -0.113616727 -0.843505062 -0.996145957 -0.1030299 -0.001701447 -0.700373226 -0.272596435 -0.554255182 -0.539053645 -0.694748462 -0.547143886 -0.316630394 -1.782601531 -0.05013607 -1.546463113 0.031014054 -0.953214086 -0.573587946 -1.851509474 -0.402120707 -0.062620362 -1.338266392 -0.543693227 -0.067850667 -1.092133323 -0.384486702 -0.932166081 -0.997500787 -1.223155624 NA 0.042963699 0.386418195 1.061256502 0.150744887 0.33432708 -1.134135845 -0.448007331 1.16074166 -0.34658318 0.61950064 0.245687516 0.260362262 0.436058973 0.071296882 0.640853386 0.333682635 -0.523235644 0.09430968 0.563835444 -1.443076375 -0.029325829
"4" -2.721135441 -2.825145973 -2.87528612 -1.741256487 0.27269533 0.405398439 0.238229189 0.206038083 -0.05108279 -0.141218002 -2.08505728 -2.95651156 -2.288682188 -2.268183666 -1.518683549 -2.049494465 -1.512765025 -1.382700826 NA -1.998045903 -1.274395269 -1.508688009 NA 0.355714483 -1.598497972 -1.033386504 0.278464723 0.295873432 0.112792828 -2.556187852 0.458310531 0.13076507 -2.216407397 -2.61319467 -2.698595042 -2.688247574 -2.415753791 -1.199648833 -1.236151703 -1.014179233 -1.736135566 -1.943513025 -2.286711744 -2.297597551 -2.121097217 -1.918003196 -0.087411457 0.233252285 0.481499794 0.436317572 0.491642804 0.307925779 0.114488727 0.361234533 0.583778644 -2.121931593 -2.085057281 -1.144132804 -2.174191878 0.273456365 0.31444571 0.233093882 0.2378351
"5" -1.217058044 -0.626236475 -0.889405403 -0.845366394 -1.84136997 -2.082646673 -1.397557553 -1.868208641 -1.98195192 -1.823250136 NA -1.587187303 -1.26655768 -1.209320411 -0.991283711 -0.926088574 -0.976571663 -0.743598724 -0.875388741 -1.08975166 -0.80923166 -0.776094101 -0.786579125 -2.12611395 -1.006215439 -2.001000115 -1.532476871 -1.825729989 -1.852146619 -0.264747101 -1.706499625 -3.216378945 -0.977102871 -0.52661631 -0.377460912 -0.933945667 -1.133514341 -0.913544506 -2.195526021 -0.488901066 -0.953214086 -1.790360448 -1.538513574 -0.831949583 -0.721340915 NA -2.359155444 -1.979053368 -2.130313872 -2.278868566 -1.698815724 -1.881903019 -2.139616265 -2.697110261 -1.648178741 -0.932674211 -1.087079053 -0.772190388 -0.448946887 -1.113218441 -2.052604888 -1.779633289 -2.859454655
"6" 0.827809184 0.054488185 -0.027473977 0.949686822 0.327935906 0.137847067 0.138804963 0.288181947 0.119204247 -0.303540488 1.138057336 0.770524802 0.681732278 0.51903186 0.576613364 0.54226615 NA NA 1.037410417 0.953008315 1.11182462 1.110244373 2.452727751 0.298028365 1.18799585 1.632236049 -0.254763226 -0.060918415 -0.069778895 0.33332443 0.188303629 -0.553385238 0.887026686 0.677373426 0.625296514 1.182616371 0.869324903 1.259369668 1.739922167 1.760251602 NA -0.745704431 NA 1.045809083 0.335972112 0.938482659 -0.159464775 0.157772684 0.265436464 -0.394525168 0.523781335 0.291698994 0.552504851 0.436899174 -0.012983928 0.849979975 0.695644061 0.748818378 NA -0.283690051 -0.630172381 -0.030665414 0.042292912
"7" 1.342603672 1.429497518 1.159299654 1.093800732 1.25121892 1.733529894 1.825290952 1.406072478 1.849116012 1.498551043 1.311193589 0.894126919 1.1814204 1.773272975 1.174832315 0.776062681 1.226154951 1.908771838 1.603540557 2.002924902 1.442060139 1.86522676 2.374961567 1.90955732 1.153983922 1.510169911 1.674382601 1.427628225 1.931564889 1.088460938 1.764593801 1.809713985 1.265594576 NA 1.394287332 NA 1.413690633 1.985542865 1.701086853 1.950044448 NA 2.250396661 2.864084819 1.257921071 1.081228733 1.741413095 1.581244178 1.516861991 1.690114265 1.417453823 1.855188 1.559806394 1.408960532 1.933418162 1.736105805 1.203992804 1.509639676 1.209676507 1.338730944 1.105985043 1.570967318 1.532664854 1.318416939
"8" 0.05704174 -0.120248573 0.015676479 0.819735778 0.771449914 0.396424364 -0.305438794 0.76033843 0.237519717 -0.206409352 NA 0.137411356 0.344015146 -1.218071729 -0.390231728 0.445262578 0.785361665 -0.287282152 NA 0.304244161 0.956626208 -0.19723217 0.257197091 0.17083922 0.333252774 0.680365846 -0.137424676 0.328152005 -0.364995176 0.643011111 -0.262534279 -0.641693899 0.777718082 -0.235848924 0.23956793 0.422977533 0.686978191 -0.102697398 0.430482871 -0.4405225 0.21985816 0.574532549 0.807279115 0.346988178 -0.163460549 -0.810580277 -0.525770071 -0.57234648 -0.45523325 NA -0.362980497 -0.457600863 0.136539364 -0.400776119 0.128832872 0.090480353 0.797507196 0.492193112 0.194250128 0.801283839 0.137324191 -0.408419468 -0.540426094
"9" 0.133568892 0.456791735 0.1919418 -0.284620098 0.030917103 0.045833416 -0.05287349 NA -0.050346374 0.144792745 NA -0.305031711 -0.046253385 -0.303675962 -0.157121756 -0.418398384 NA -0.287815415 0.0605305 0.569339785 -0.001601281 0.079365555 -0.503353609 0.145225252 -0.087411457 -0.201137471 -0.051714436 0.031692447 0.235230212 0.446990855 -0.327671081 -0.340098805 0.47871557 0.308587033 0.354382318 0.454509208 -0.09014355 0.652741766 -0.270497248 -0.633558389 0.270942748 0.169827159 0.551986761 -0.639227339 0.828857448 0.540403843 -0.573942933 -0.277599737 0.045355702 0.99480612 -0.291556234 0.591557325 1.255815448 1.050786659 0.349176904 0.818942477 0.370459499 0.501683966 0.599275965 0.381582168 1.036985081 NA 0.183071276
"10" 0.565427439 0.15905293 0.496584701 0.994732158 0.278313322 0.352064331 -1.242367192 0.136103083 -0.252701104 -1.572142128 1.064745219 0.692597029 NA NA -0.384486702 0.407995238 0.474306857 0.043634037 -0.010050336 0.351149708 0.69419663 NA -0.020508877 -0.133302847 -0.241562137 0.767512263 0.061753396 0.888261559 0.037488444 1.080108817 -0.781978394 0.033724869 1.097811969 0.432366661 0.785817515 0.470378559 1.04766981 -0.168418652 0.248967231 0.825096072 0.571487892 0.2569651 0.290727431 0.641327432 0.386554083 -0.083599024 0.01400152 0.061001022 0.350516017 0.59525868 0.165429689 0.535264546 0.275584187 0.117694143 0.790455363 0.629195154 1.027939435 1.122491563 0.637370165 0.71481082 0.973653569 0.376242249 0.503438405
